gene_name gene_id tx_id chr start end strand distance lonely
FAM199X ENSG00000123575 ENST00000493442 chrX 104166453 104195902 + 490957 Yes
USP47 ENSG00000170242 ENST00000527733 chr11 11841972 11961887 + 489481 Yes
ARHGAP12 ENSG00000165322 ENST00000344936 chr10 31805398 31928831 - 486903 Yes
NEDD4 ENSG00000069869 ENST00000435532 chr15 55826922 55993612 - 486890 Yes
THUMPD2 ENSG00000138050 ENST00000505747 chr2 39736061 39779258 - 486794 Yes
PINX1 ENSG00000284764 ENST00000647329 chrCHR_HG76_PATCH 9112146 9226509 + 483353 Yes
PTPRC ENSG00000081237 ENST00000442510 chr1 198639040 198757476 + 481463 Yes
TAPT1 ENSG00000169762 ENST00000405303 chr4 16160505 16226471 - 478843 Yes
ACVR1 ENSG00000115170 ENST00000434821 chr2 157736446 157876330 - 478546 Yes
ETV6 ENSG00000139083 ENST00000396373 chr12 11649674 11895377 + 478480 Yes
EHBP1 ENSG00000115504 ENST00000431489 chr2 62705713 63046487 + 477736 Yes
SLC41A3 ENSG00000114544 ENST00000360370 chr3 126006357 126084124 - 477499 Yes
NRIP1 ENSG00000180530 ENST00000318948 chr21 14961235 15065000 - 476007 Yes
TRMT10A ENSG00000145331 ENST00000394876 chr4 99546711 99564039 - 475731 Yes
ANGEL1 ENSG00000013523 ENST00000251089 chr14 76786009 76812882 - 475297 Yes
FBXW11 ENSG00000072803 ENST00000517395 chr5 171861549 172006638 - 474433 Yes
CCNL1 ENSG00000163660 ENST00000295926 chr3 157147553 157160147 - 473273 Yes
DGKH ENSG00000102780 ENST00000337343 chr13 42048648 42242896 + 473201 Yes
CDCA7L ENSG00000164649 ENST00000406877 chr7 21900899 21945899 - 472856 Yes
PRRC1 ENSG00000164244 ENST00000296666 chr5 127517640 127555085 + 472405 Yes
MBIP ENSG00000151332 ENST00000416007 chr14 36298564 36320637 - 472226 Yes
SMIM10L1 ENSG00000256537 ENST00000622602 chr12 11171194 11176016 + 472105 Yes
PNRC1 ENSG00000146278 ENST00000336032 chr6 89080751 89085160 + 470854 Yes
PDK1 ENSG00000152256 ENST00000282077 chr2 172556090 172608669 + 470633 Yes
SLC44A5 ENSG00000137968 ENST00000370859 chr1 75202129 75611114 - 468977 Yes
C1GALT1 ENSG00000106392 ENST00000436587 chr7 7182544 7248616 + 468501 Yes
EXOC4 ENSG00000131558 ENST00000253861 chr7 133253078 134065761 + 468203 Yes
GNA13 ENSG00000120063 ENST00000439174 chr17 65009289 65056740 - 467007 Yes
LRP6 ENSG00000070018 ENST00000261349 chr12 12116025 12267044 - 466351 Yes
DTWD1 ENSG00000104047 ENST00000403028 chr15 49621048 49656232 + 465381 Yes
NDUFS4 ENSG00000164258 ENST00000296684 chr5 53560639 53683338 + 464954 Yes
AAR2 ENSG00000131043 ENST00000320849 chr20 36236478 36256933 + 464157 Yes
ZNF148 ENSG00000163848 ENST00000360647 chr3 125225669 125375325 - 463721 Yes
LRPAP1 ENSG00000163956 ENST00000650182 chr4 3503612 3532422 - 462249 Yes
CENPJ ENSG00000151849 ENST00000381884 chr13 24882279 24922861 - 461348 Yes
PAK1 ENSG00000149269 ENST00000356341 chr11 77322017 77474094 - 461158 Yes
ARFIP1 ENSG00000164144 ENST00000353617 chr4 152779954 152912357 + 459393 Yes
SNRPB2 ENSG00000125870 ENST00000246071 chr20 16730026 16742564 + 457857 Yes
LEMD3 ENSG00000174106 ENST00000308330 chr12 65169583 65248355 + 456138 Yes
PTPDC1 ENSG00000158079 ENST00000620992 chr9 94084464 94109853 + 454210 Yes
MARCHF8 ENSG00000165406 ENST00000453424 chr10 45454585 45535371 - 453662 Yes
PLA2G4A ENSG00000116711 ENST00000367466 chr1 186828949 186988981 + 453111 Yes
RPL17 ENSG00000265681 ENST00000580261 chr18 49488481 49492465 - 452066 Yes
PDHA1 ENSG00000131828 ENST00000422285 chrX 19343927 19361718 + 451595 Yes
NIPAL3 ENSG00000001461 ENST00000374399 chr1 24415802 24472976 + 451455 Yes
GLRX5 ENSG00000182512 ENST00000331334 chr14 95535050 95544714 + 447275 Yes
PACRGL ENSG00000163138 ENST00000503585 chr4 20700458 20732557 + 444377 Yes
INTS6 ENSG00000102786 ENST00000311234 chr13 51361577 51453036 - 444330 Yes
MSX1 ENSG00000163132 ENST00000382723 chr4 4859665 4863936 + 443923 Yes
MIPEP ENSG00000027001 ENST00000382172 chr13 23730189 23889400 - 441500 Yes
PTGER3 ENSG00000050628 ENST00000306666 chr1 70970782 71047816 - 441135 Yes
TXNDC16 ENSG00000087301 ENST00000281741 chr14 52430596 52552505 - 441082 Yes
THOC3 ENSG00000051596 ENST00000265097 chr5 175959531 175968315 - 440811 Yes
TJP1 ENSG00000277401 ENST00000621049 chrCHR_HSCHR15_4_CTG8 29850002 29972346 - 440589 Yes
RCAN1 ENSG00000159200 ENST00000313806 chr21 34516442 34615113 - 439918 Yes
RPL31 ENSG00000071082 ENST00000264258 chr2 101002289 101007267 + 439236 Yes
MACC1 ENSG00000183742 ENST00000400331 chr7 20134655 20217384 - 439194 Yes
FNDC3B ENSG00000075420 ENST00000415807 chr3 172039578 172401669 + 439174 Yes
KATNAL1 ENSG00000102781 ENST00000380615 chr13 30202630 30307551 - 438259 Yes
L3MBTL3 ENSG00000198945 ENST00000361794 chr6 130018581 130141438 + 437567 Yes
USP9X ENSG00000124486 ENST00000378308 chrX 41085445 41236579 + 437140 Yes
SPTLC1 ENSG00000090054 ENST00000262554 chr9 92031147 92115413 - 436996 Yes
PVR ENSG00000073008 ENST00000425690 chr19 44643910 44666162 + 436251 Yes
SERGEF ENSG00000129158 ENST00000265965 chr11 17788048 18013047 - 436248 Yes
MGST1 ENSG00000008394 ENST00000396210 chr12 16347645 16364410 + 435840 Yes
TMEM98 ENSG00000006042 ENST00000579849 chr17 32928153 32944315 + 435388 Yes
LDAH ENSG00000118961 ENST00000237822 chr2 20684031 20823101 - 435323 Yes
TJP1 ENSG00000104067 ENST00000614355 chr15 29700152 29822468 - 434378 Yes
ASAH2B ENSG00000204147 ENST00000647317 chr10 50739936 50759255 + 433732 Yes
GALNT2 ENSG00000143641 ENST00000366672 chr1 230067238 230282122 + 431743 Yes
ZXDC ENSG00000070476 ENST00000389709 chr3 126437601 126475891 - 431244 Yes
SH3BGRL2 ENSG00000198478 ENST00000369838 chr6 79631329 79703655 + 430084 Yes
CDK19 ENSG00000155111 ENST00000368911 chr6 110609978 110815469 - 429837 Yes
DEPDC1 ENSG00000024526 ENST00000456315 chr1 68474152 68497082 - 428266 Yes
XXYLT1 ENSG00000173950 ENST00000310380 chr3 195068284 195271159 - 427493 Yes
LRCH1 ENSG00000136141 ENST00000389797 chr13 46553170 46744898 + 427248 Yes
BUB1 ENSG00000169679 ENST00000302759 chr2 110637528 110678063 - 425999 Yes
MAP4K4 ENSG00000071054 ENST00000324219 chr2 101697707 101894690 + 425631 Yes
BRMS1L ENSG00000100916 ENST00000216807 chr14 35826338 35871963 + 425259 Yes
DDX1 ENSG00000079785 ENST00000233084 chr2 15591868 15631101 + 424262 Yes
MMD ENSG00000108960 ENST00000262065 chr17 55392622 55421835 - 423895 Yes
GLUD2 ENSG00000182890 ENST00000328078 chrX 121047610 121050094 + 421936 Yes
SUPT3H ENSG00000196284 ENST00000371459 chr6 44826726 45377934 - 421611 Yes
PSD4 ENSG00000125637 ENST00000245796 chr2 113173971 113209391 + 420976 Yes
TNKS ENSG00000173273 ENST00000310430 chr8 9555912 9782346 + 419657 Yes
NUP210 ENSG00000132182 ENST00000254508 chr3 13316235 13420322 - 419192 Yes
ABCC4 ENSG00000125257 ENST00000645237 chr13 95019835 95301451 - 417978 Yes
TCF19 ENSG00000234674 ENST00000446038 chrCHR_HSCHR6_MHC_SSTO_CTG1 31153422 31159096 + 417962 Yes
GPCPD1 ENSG00000125772 ENST00000379019 chr20 5544439 5611006 - 417560 Yes
NUBP1 ENSG00000103274 ENST00000283027 chr16 10743842 10769351 + 417352 Yes
TENM1 ENSG00000009694 ENST00000371130 chrX 124375903 124963817 - 415691 Yes
LMO4 ENSG00000143013 ENST00000370544 chr1 87328880 87348923 + 414245 Yes
TBC1D19 ENSG00000109680 ENST00000264866 chr4 26584084 26756223 + 412982 Yes
ANAPC13 ENSG00000129055 ENST00000354910 chr3 134477706 134485985 - 412403 Yes
ZDHHC17 ENSG00000186908 ENST00000426126 chr12 76764115 76853696 + 412306 Yes
SNX9 ENSG00000130340 ENST00000392185 chr6 157823246 157945077 + 411362 Yes
ECE1 ENSG00000117298 ENST00000374893 chr1 21217250 21290463 - 410955 Yes
CMAS ENSG00000111726 ENST00000229329 chr12 22046218 22065668 + 410876 Yes
MINPP1 ENSG00000107789 ENST00000371996 chr10 87504893 87553461 + 410714 Yes
KCTD15 ENSG00000153885 ENST00000683859 chr19 33796870 33815761 + 408983 Yes
CCDC14 ENSG00000175455 ENST00000409697 chr3 123913422 123961229 - 406485 Yes
CCDC71L ENSG00000253276 ENST00000523505 chr7 106654360 106661158 - 406062 Yes
PHF8 ENSG00000172943 ENST00000338154 chrX 53936680 54044473 - 404580 Yes
FUT8 ENSG00000033170 ENST00000673929 chr14 65412730 65744121 + 404418 Yes
STARD4 ENSG00000164211 ENST00000296632 chr5 111496033 111512535 - 403712 Yes
UHRF2 ENSG00000147854 ENST00000276893 chr9 6413199 6507054 + 402126 Yes
TMEM18 ENSG00000151353 ENST00000281017 chr2 663877 677406 - 399737 Yes
TMEM241 ENSG00000134490 ENST00000383233 chr18 23296013 23437961 - 398883 Yes
OTUD3 ENSG00000169914 ENST00000375120 chr1 19882395 19912945 + 397992 Yes
R3HCC1L ENSG00000166024 ENST00000298999 chr10 98134657 98244897 + 397503 Yes
FAM72A ENSG00000196550 ENST00000367128 chr1 206186179 206202839 - 397085 Yes
MYADM ENSG00000179820 ENST00000391770 chr19 53867883 53876435 + 397030 Yes
WDR41 ENSG00000164253 ENST00000296679 chr5 77430933 77492316 - 396719 Yes
NCL ENSG00000115053 ENST00000322723 chr2 231453531 231464484 - 396686 Yes
NFXL1 ENSG00000170448 ENST00000507489 chr4 47847240 47914583 - 396446 Yes
PDZD8 ENSG00000165650 ENST00000334464 chr10 117277274 117375440 - 395797 Yes
PTPRR ENSG00000153233 ENST00000283228 chr12 70638079 70920738 - 395071 Yes
NAA35 ENSG00000135040 ENST00000361671 chr9 85941146 86025462 + 394607 Yes
R3HDM1 ENSG00000048991 ENST00000683871 chr2 135531484 135725269 + 394539 Yes
RBM19 ENSG00000122965 ENST00000261741 chr12 113822057 113966325 - 394358 Yes
CLK4 ENSG00000113240 ENST00000316308 chr5 178602664 178627050 - 394193 Yes
DCAF13 ENSG00000164934 ENST00000612750 chr8 103415386 103443453 + 393651 Yes
MARCHF7 ENSG00000136536 ENST00000409175 chr2 159712506 159771027 + 393478 Yes
TOMM7 ENSG00000196683 ENST00000358435 chr7 22812974 22822849 - 393184 Yes
RASA3 ENSG00000185989 ENST00000334062 chr13 113977783 114132623 - 393062 Yes
DLK1 ENSG00000185559 ENST00000341267 chr14 100726892 100738224 + 391915 Yes
MYEOV ENSG00000172927 ENST00000441339 chr11 69294155 69297287 + 390288 Yes
TMED3 ENSG00000166557 ENST00000299705 chr15 79311112 79322840 + 390054 Yes
GABRE ENSG00000102287 ENST00000370328 chrX 151953124 151974676 - 389449 Yes
TSPYL6 ENSG00000178021 ENST00000317802 chr2 54253178 54256229 - 389109 Yes
RCC2 ENSG00000179051 ENST00000375436 chr1 17406760 17439677 - 388038 Yes
PANX1 ENSG00000110218 ENST00000227638 chr11 94128841 94181968 + 387250 Yes
TIGD2 ENSG00000180346 ENST00000603357 chr4 89111533 89114901 + 385578 Yes
ZNHIT6 ENSG00000117174 ENST00000370574 chr1 85649417 85708433 - 383641 Yes
ZNF92 ENSG00000146757 ENST00000328747 chr7 65373855 65401136 + 383443 Yes
CPQ ENSG00000104324 ENST00000220763 chr8 96645242 97143501 + 383340 Yes
TMX1 ENSG00000139921 ENST00000457354 chr14 51240247 51257655 + 382271 Yes
NSMCE3 ENSG00000185115 ENST00000332303 chr15 29264989 29269822 - 380506 Yes
SLC25A21 ENSG00000183032 ENST00000331299 chr14 36677921 37172606 - 379357 Yes
ARL5A ENSG00000162980 ENST00000295087 chr2 151798797 151828421 - 379101 Yes
DYRK2 ENSG00000127334 ENST00000344096 chr12 67648745 67665406 + 378980 Yes
EHHADH ENSG00000113790 ENST00000231887 chr3 185190624 185254049 - 378481 Yes
MOB3B ENSG00000120162 ENST00000262244 chr9 27325209 27529814 - 378170 Yes
SHQ1 ENSG00000144736 ENST00000325599 chr3 72749277 72848445 - 377452 Yes
RCC1L ENSG00000274523 ENST00000610322 chr7 75042183 75073802 - 376891 Yes
CACUL1 ENSG00000151893 ENST00000369151 chr10 118676411 118754970 - 376242 Yes
FUNDC1 ENSG00000069509 ENST00000378045 chrX 44523639 44542859 - 375767 Yes
SKAP2 ENSG00000005020 ENST00000345317 chr7 26667068 26864590 - 375206 Yes
IFNGR1 ENSG00000027697 ENST00000367739 chr6 137197485 137219385 - 374919 Yes
KRT10 ENSG00000186395 ENST00000269576 chr17 40818117 40822614 - 374667 Yes
PLGRKT ENSG00000107020 ENST00000223864 chr9 5357971 5437925 - 373581 Yes
ZNF518B ENSG00000178163 ENST00000326756 chr4 10439880 10457426 - 371791 Yes
RNASEK ENSG00000219200 ENST00000593646 chr17 7012624 7014532 + 369106 Yes
CYP20A1 ENSG00000119004 ENST00000356079 chr2 203239018 203306026 + 364716 Yes
PARN ENSG00000140694 ENST00000437198 chr16 14435701 14630260 - 364381 Yes
POU2F1 ENSG00000143190 ENST00000367866 chr1 167220886 167427340 + 364366 Yes
DDX11 ENSG00000013573 ENST00000542838 chr12 31073860 31104799 + 364308 Yes
HLCS ENSG00000159267 ENST00000674895 chr21 36748626 36966669 - 363234 Yes
ATXN10 ENSG00000130638 ENST00000252934 chr22 45671834 45845307 + 362830 Yes
XPR1 ENSG00000143324 ENST00000367590 chr1 180632022 180890279 + 362369 Yes
SUCLG2 ENSG00000172340 ENST00000307227 chr3 67374719 67654612 - 362153 Yes
SEM1 ENSG00000127922 ENST00000248566 chr7 96688762 96709846 - 361406 Yes
ZNF558 ENSG00000167785 ENST00000601372 chr19 8806170 8832304 - 361403 Yes
FAM110A ENSG00000125898 ENST00000381941 chr20 833715 846277 + 361217 Yes
FAM241B ENSG00000171224 ENST00000373279 chr10 69630247 69633596 + 360263 Yes
FAM3C ENSG00000196937 ENST00000359943 chr7 121348878 121396308 - 360181 Yes
GABARAPL1 ENSG00000139112 ENST00000266458 chr12 10212877 10223128 + 360089 Yes
FAM234B ENSG00000084444 ENST00000197268 chr12 13044381 13083449 + 358883 Yes
PCTP ENSG00000141179 ENST00000268896 chr17 55751051 55777374 + 358429 Yes
HJURP ENSG00000123485 ENST00000411486 chr2 233836702 233854535 - 357890 Yes
BPGM ENSG00000172331 ENST00000344924 chr7 134646853 134679816 + 357479 Yes
ARL4A ENSG00000122644 ENST00000651779 chr7 12687633 12690958 + 355971 Yes
MAN2A1 ENSG00000112893 ENST00000261483 chr5 109689927 109869625 + 355214 Yes
WDR36 ENSG00000134987 ENST00000513710 chr5 111092348 111130502 + 354185 Yes
REEP3 ENSG00000165476 ENST00000373758 chr10 63521401 63625128 + 354180 Yes
INSIG1 ENSG00000186480 ENST00000340368 chr7 155297878 155310235 + 354089 Yes
CENPW ENSG00000203760 ENST00000368328 chr6 126340115 126348875 + 353636 Yes
CCDC91 ENSG00000123106 ENST00000536442 chr12 28190456 28550166 + 353201 Yes
FAM91A1 ENSG00000176853 ENST00000334705 chr8 123768439 123815452 + 351713 Yes
DENND1B ENSG00000213047 ENST00000620048 chr1 197504748 197775480 - 351066 Yes
SPATS2L ENSG00000196141 ENST00000409140 chr2 200306693 200482264 + 350564 Yes
IER3IP1 ENSG00000134049 ENST00000256433 chr18 47152834 47176364 - 349616 Yes
KDM6A ENSG00000147050 ENST00000611820 chrX 44873188 45112779 + 349549 Yes
NSMCE3 ENSG00000282130 ENST00000631973 chrCHR_HSCHR15_4_CTG8 29409413 29411093 - 349378 Yes
CSRP1 ENSG00000159176 ENST00000340006 chr1 201483530 201507123 - 348758 Yes
COPB2 ENSG00000184432 ENST00000333188 chr3 139357406 139389647 - 348140 Yes
RBM33 ENSG00000184863 ENST00000401878 chr7 155644661 155781480 + 346675 Yes
ZNF267 ENSG00000185947 ENST00000300870 chr16 31873807 31917357 + 345907 Yes
MTX2 ENSG00000128654 ENST00000249442 chr2 176269442 176338025 + 345513 Yes
RALGAPB ENSG00000170471 ENST00000262879 chr20 38472843 38578858 + 345431 Yes
PPP1R9B ENSG00000108819 ENST00000612501 chr17 50133737 50150677 - 345113 Yes
DIRAS3 ENSG00000162595 ENST00000646789 chr1 68045962 68050627 - 344411 Yes
PEX26 ENSG00000215193 ENST00000399744 chr22 18077990 18105396 + 343785 Yes
CITED2 ENSG00000164442 ENST00000367651 chr6 139371807 139374648 - 343062 Yes
ZNF778 ENSG00000170100 ENST00000433976 chr16 89217703 89237141 + 342845 Yes
COPG2 ENSG00000158623 ENST00000425248 chr7 130506238 130668748 - 341525 Yes
UBE2F ENSG00000184182 ENST00000272930 chr2 237967014 238042782 + 339240 Yes
TRIB1 ENSG00000173334 ENST00000311922 chr8 125430358 125438403 + 338679 Yes
RBFOX2 ENSG00000100320 ENST00000695854 chr22 35738736 36028824 - 338602 Yes
NAA11 ENSG00000156269 ENST00000286794 chr4 79316647 79326061 - 338567 Yes
ZNF195 ENSG00000005801 ENST00000399602 chr11 3357927 3379146 - 338339 Yes
SLC35B3 ENSG00000124786 ENST00000644923 chr6 8411435 8435545 - 338075 Yes
DHRS3 ENSG00000162496 ENST00000616661 chr1 12567910 12618210 - 337880 Yes
ZFAND3 ENSG00000156639 ENST00000287218 chr6 37819727 38154624 + 336789 Yes
RAB18 ENSG00000099246 ENST00000356940 chr10 27504304 27542239 + 336039 Yes
SIL1 ENSG00000120725 ENST00000394817 chr5 138946724 139198368 - 335757 Yes
ABHD5 ENSG00000011198 ENST00000644371 chr3 43690938 43722725 + 335249 Yes
SH3GL3 ENSG00000140600 ENST00000427482 chr15 83447341 83618743 + 334490 Yes
RAPGEF2 ENSG00000109756 ENST00000691494 chr4 159103079 159360173 + 333987 Yes
CAT ENSG00000121691 ENST00000241052 chr11 34438934 34472060 + 333317 Yes
TBCK ENSG00000145348 ENST00000394708 chr4 106041599 106316209 - 332821 Yes
RAB2A ENSG00000104388 ENST00000262646 chr8 60516987 60623644 + 331524 Yes
AQP1 ENSG00000240583 ENST00000311813 chr7 30911853 30925516 + 331320 Yes
TRAPPC8 ENSG00000153339 ENST00000283351 chr18 31829197 31943128 - 331020 Yes
ZNF519 ENSG00000175322 ENST00000590202 chr18 14099938 14132435 - 330797 Yes
INPP5A ENSG00000068383 ENST00000368594 chr10 132537787 132783480 + 330295 Yes
ATG4C ENSG00000125703 ENST00000317868 chr1 62784132 62865516 + 329834 Yes
ZNF257 ENSG00000197134 ENST00000594947 chr19 22052484 22091480 + 329659 Yes
SRI ENSG00000075142 ENST00000265729 chr7 88205115 88220038 - 328899 Yes
STAM ENSG00000136738 ENST00000377524 chr10 17644151 17716824 + 328730 Yes
STAM2 ENSG00000115145 ENST00000263904 chr2 152116801 152175763 - 327817 Yes
RAP2B ENSG00000181467 ENST00000323534 chr3 153162226 153170627 + 327095 Yes
DAP ENSG00000112977 ENST00000230895 chr5 10679230 10761234 - 325535 Yes
COMMD9 ENSG00000110442 ENST00000263401 chr11 36272292 36289424 - 325303 Yes
MCU ENSG00000156026 ENST00000373053 chr10 72692143 72887694 + 324803 Yes
RPL5 ENSG00000122406 ENST00000370321 chr1 92832040 92841924 + 323317 Yes
ARL15 ENSG00000185305 ENST00000504924 chr5 53883942 54310573 - 323309 Yes
PHKA1 ENSG00000067177 ENST00000373542 chrX 72578814 72714306 - 323135 Yes
CYCS ENSG00000172115 ENST00000305786 chr7 25118656 25125260 - 322116 Yes
CENPF ENSG00000117724 ENST00000366955 chr1 214603195 214664571 + 322083 Yes
HSD17B12 ENSG00000149084 ENST00000278353 chr11 43680738 43856615 + 321760 Yes
MAPK9 ENSG00000050748 ENST00000452135 chr5 180233143 180292083 - 321492 Yes
ATP2B4 ENSG00000058668 ENST00000357681 chr1 203626832 203744081 + 321341 Yes
MORF4L2 ENSG00000123562 ENST00000441076 chrX 103675498 103686699 - 319007 Yes
LTBP1 ENSG00000049323 ENST00000404816 chr2 32946953 33399509 + 318921 Yes
SLC38A9 ENSG00000177058 ENST00000396865 chr5 55625848 55712324 - 317856 Yes
MAGI3 ENSG00000081026 ENST00000307546 chr1 113390515 113685923 + 317317 Yes
PHC2 ENSG00000134686 ENST00000683057 chr1 33323626 33431095 - 315637 Yes
AGGF1 ENSG00000164252 ENST00000312916 chr5 77030404 77065234 + 313125 Yes
F2R ENSG00000181104 ENST00000319211 chr5 76716126 76735770 + 312841 Yes
SORD ENSG00000140263 ENST00000267814 chr15 45023195 45077185 + 311789 Yes
ADD2 ENSG00000075340 ENST00000264436 chr2 70656784 70768200 - 311642 Yes
MEIS2 ENSG00000134138 ENST00000561208 chr15 36889204 37100549 - 309578 Yes
AP3B1 ENSG00000132842 ENST00000255194 chr5 78002326 78294698 - 309356 Yes
OCIAD1 ENSG00000109180 ENST00000264312 chr4 48831088 48861815 + 307855 Yes
TFG ENSG00000114354 ENST00000240851 chr3 100709494 100748964 + 307763 Yes
MOCS2 ENSG00000164172 ENST00000396954 chr5 53095679 53109757 - 307763 Yes
KDM4C ENSG00000107077 ENST00000381309 chr9 6757973 7175648 + 307712 Yes
B3GNT2 ENSG00000170340 ENST00000301998 chr2 62196115 62224731 + 307391 Yes
PHKB ENSG00000102893 ENST00000323584 chr16 47461331 47701523 + 306736 Yes
MACROH2A1 ENSG00000113648 ENST00000511689 chr5 135334381 135399231 - 306647 Yes
RMI2 ENSG00000175643 ENST00000312499 chr16 11345459 11351760 + 305080 Yes
SREBF1 ENSG00000072310 ENST00000261646 chr17 17811334 17836986 - 304836 Yes
UBXN10 ENSG00000162543 ENST00000375099 chr1 20186096 20196050 + 303701 Yes
TSPAN14 ENSG00000108219 ENST00000429989 chr10 80454310 80522631 + 303376 Yes
PDCD6IP ENSG00000170248 ENST00000307296 chr3 33798630 33869703 + 302326 Yes
AGPAT5 ENSG00000155189 ENST00000285518 chr8 6708642 6761503 + 302050 Yes
AGPAT5 ENSG00000284980 ENST00000646327 chrCHR_HG76_PATCH 6708642 6761503 + 302046 Yes
ADSL ENSG00000239900 ENST00000623063 chr22 40346500 40369367 + 301644 Yes
RBPJ ENSG00000168214 ENST00000355476 chr4 26321014 26434923 + 301625 Yes
RPS23 ENSG00000186468 ENST00000296674 chr5 82273320 82278354 - 301297 Yes
MAP3K5 ENSG00000197442 ENST00000359015 chr6 136557046 136792477 - 300419 Yes
ERCC6 ENSG00000225830 ENST00000355832 chr10 49454470 49539121 - 299443 Yes
PICALM ENSG00000073921 ENST00000393346 chr11 85957175 86069084 - 299433 Yes
MAGEC2 ENSG00000046774 ENST00000247452 chrX 142202342 142205290 - 298448 Yes
SMIM30 ENSG00000214194 ENST00000397764 chr7 113116718 113118554 - 297571 Yes
ZNF557 ENSG00000130544 ENST00000252840 chr19 7069703 7087968 + 296995 Yes
HIVEP1 ENSG00000095951 ENST00000379388 chr6 12012312 12164999 + 296708 Yes
ZFYVE16 ENSG00000039319 ENST00000505560 chr5 80408064 80483379 + 296362 Yes
POMGNT2 ENSG00000144647 ENST00000344697 chr3 43079234 43106079 - 296321 Yes
VRK1 ENSG00000100749 ENST00000216639 chr14 96797382 96881609 + 295871 Yes
ATP6V1B2 ENSG00000147416 ENST00000276390 chr8 20197381 20221696 + 295664 Yes
N4BP1 ENSG00000102921 ENST00000262384 chr16 48538726 48610180 - 294426 Yes
ACSL3 ENSG00000123983 ENST00000357430 chr2 222861036 222944639 + 294043 Yes
ACAA2 ENSG00000167315 ENST00000285093 chr18 49782164 49813533 - 293711 Yes
REN ENSG00000143839 ENST00000272190 chr1 204154819 204166337 - 293220 Yes
FAM204A ENSG00000165669 ENST00000369183 chr10 118297925 118342324 - 293009 Yes
NCOA3 ENSG00000124151 ENST00000371998 chr20 47501887 47656872 + 292673 Yes
BOD1 ENSG00000145919 ENST00000311086 chr5 173607145 173616650 - 292422 Yes
ZNF652 ENSG00000198740 ENST00000430262 chr17 49289206 49362250 - 291821 Yes
PCGF5 ENSG00000180628 ENST00000336126 chr10 91220663 91284337 + 291060 Yes
LY6E ENSG00000160932 ENST00000292494 chr8 143018529 143022409 + 290759 Yes
TRIM21 ENSG00000132109 ENST00000254436 chr11 4384897 4393702 - 290190 Yes
NUDT12 ENSG00000112874 ENST00000230792 chr5 103548855 103562789 - 290092 Yes
HACD2 ENSG00000206527 ENST00000383657 chr3 123491554 123585053 - 288893 Yes
XPO1 ENSG00000082898 ENST00000401558 chr2 61477849 61538356 - 288569 Yes
TEC ENSG00000135605 ENST00000381501 chr4 48135783 48269838 - 288550 Yes
TCF12 ENSG00000140262 ENST00000333725 chr15 56918644 57289853 + 288447 Yes
NCOA1 ENSG00000084676 ENST00000348332 chr2 24491254 24770702 + 288390 Yes
SLC35F2 ENSG00000110660 ENST00000525815 chr11 107790991 107858787 - 288264 Yes
PFKL ENSG00000141959 ENST00000349048 chr21 44300053 44327373 + 287742 Yes
CD55 ENSG00000196352 ENST00000367064 chr1 207321678 207360966 + 287153 Yes
MAP4K3 ENSG00000011566 ENST00000263881 chr2 39249266 39437285 - 287060 Yes
SOCS6 ENSG00000170677 ENST00000397942 chr18 70289045 70330199 + 286014 Yes
ETFA ENSG00000140374 ENST00000557943 chr15 76215353 76311469 - 284679 Yes
CTSD ENSG00000117984 ENST00000236671 chr11 1752755 1763927 - 283295 Yes
MRPS33 ENSG00000090263 ENST00000324787 chr7 141002610 141014952 - 283283 Yes
PRKCQ ENSG00000065675 ENST00000263125 chr10 6427148 6580276 - 282209 Yes
SCFD2 ENSG00000184178 ENST00000401642 chr4 52872982 53366061 - 282022 Yes
RELCH ENSG00000134444 ENST00000644646 chr18 62187255 62310249 + 282000 Yes
SAAL1 ENSG00000166788 ENST00000524803 chr11 18080292 18106082 - 281887 Yes
LDLRAD3 ENSG00000179241 ENST00000315571 chr11 35944062 36232136 + 281206 Yes
CPEB4 ENSG00000113742 ENST00000265085 chr5 173888349 173961980 + 281204 Yes
STIM2 ENSG00000109689 ENST00000467087 chr4 26860841 27025381 + 281164 Yes
EMC2 ENSG00000104412 ENST00000220853 chr8 108443624 108489196 + 280814 Yes
FAR1 ENSG00000197601 ENST00000354817 chr11 13668668 13732346 + 280660 Yes
SSX1 ENSG00000126752 ENST00000376919 chrX 48255392 48267444 + 280541 Yes
ELP3 ENSG00000134014 ENST00000256398 chr8 28093139 28191153 + 280049 Yes
CDCA7 ENSG00000144354 ENST00000306721 chr2 173354872 173368997 + 279385 Yes
BTG2 ENSG00000159388 ENST00000290551 chr1 203305519 203309602 + 279000 Yes
PLXNA1 ENSG00000114554 ENST00000393409 chr3 126983115 127037389 + 278453 Yes
CDK17 ENSG00000059758 ENST00000261211 chr12 96278261 96400439 - 277508 Yes
DTNBP1 ENSG00000047579 ENST00000344537 chr6 15522807 15663028 - 276738 Yes
HPS1 ENSG00000107521 ENST00000361490 chr10 98416198 98446935 - 276315 Yes
KAT6A ENSG00000083168 ENST00000265713 chr8 41929479 42051987 - 276259 Yes
MED27 ENSG00000160563 ENST00000292035 chr9 131860112 132079867 - 276158 Yes
DMTF1 ENSG00000135164 ENST00000331242 chr7 87152453 87196325 + 275503 Yes
EHD4 ENSG00000103966 ENST00000220325 chr15 41895933 41972557 - 274799 Yes
